id,title,release_year,budget,revenue,runtime,genres,genre_list,popularity,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
435,The Day After Tomorrow,2004,125000000.0,552639571.0,123.0,"['Science Fiction', 'Thriller', 'Adventure']","['Science Fiction', 'Thriller', 'Adventure']",10.459,0.0,0.0,False,False
9472,DodgeBall: A True Underdog Story,2004,20000000.0,168423227.0,93.0,['Comedy'],['Comedy'],9.1673,0.0,0.0,False,False
11247,A Cinderella Story,2004,19000000.0,70067909.0,95.0,"['Comedy', 'Family', 'Romance']","['Comedy', 'Family', 'Romance']",11.1065,0.0,0.0,False,False
615,The Passion of the Christ,2004,30000000.0,610063468.0,127.0,['Drama'],['Drama'],11.416,3.0,0.0,True,False
342820,Homecoming,2004,2000.0,0.0,104.0,['Drama'],['Drama'],9.5758,0.0,0.0,False,False
38,Eternal Sunshine of the Spotless Mind,2004,20000000.0,72258126.0,108.0,"['Science Fiction', 'Drama', 'Romance']","['Science Fiction', 'Drama', 'Romance']",12.3529,2.0,1.0,True,True
5137,Sky Captain and the World of Tomorrow,2004,70000000.0,57958696.0,107.0,"['Mystery', 'Action', 'Thriller', 'Science Fiction', 'Adventure']","['Mystery', 'Action', 'Thriller', 'Science Fiction', 'Adventure']",11.525,0.0,0.0,False,False
9890,The Stepford Wives,2004,90000000.0,102000000.0,93.0,"['Comedy', 'Science Fiction', 'Horror']","['Comedy', 'Science Fiction', 'Horror']",10.0722,0.0,0.0,False,False
7220,The Punisher,2004,33000000.0,54700105.0,124.0,"['Action', 'Crime', 'Drama']","['Action', 'Crime', 'Drama']",10.9346,0.0,0.0,False,False
10591,The Girl Next Door,2004,21000000.0,31635150.0,110.0,"['Comedy', 'Romance']","['Comedy', 'Romance']",10.8736,0.0,0.0,False,False
5494,George and the Dragon,2004,32000000.0,0.0,93.0,['Adventure'],['Adventure'],9.0083,0.0,0.0,False,False
21301,Barbershop 2: Back in Business,2004,18000000.0,65070412.0,106.0,"['Comedy', 'Drama']","['Comedy', 'Drama']",8.3057,0.0,0.0,False,False
1538,Collateral,2004,65000000.0,220239925.0,120.0,"['Drama', 'Crime', 'Thriller']","['Drama', 'Crime', 'Thriller']",10.3164,2.0,0.0,True,False
2567,The Aviator,2004,110000000.0,213719942.0,170.0,['Drama'],['Drama'],9.4244,11.0,5.0,True,True
6947,The Village,2004,60000000.0,256700000.0,108.0,"['Drama', 'Mystery', 'Thriller']","['Drama', 'Mystery', 'Thriller']",10.675,1.0,0.0,True,False
2059,National Treasure,2004,100000000.0,347500000.0,131.0,"['Adventure', 'Action', 'Thriller', 'Mystery']","['Adventure', 'Action', 'Thriller', 'Mystery']",10.069,0.0,0.0,False,False
163,Ocean's Twelve,2004,110000000.0,362744280.0,125.0,"['Thriller', 'Crime']","['Thriller', 'Crime']",8.7313,0.0,0.0,False,False
11866,Flight of the Phoenix,2004,45000000.0,21009180.0,113.0,"['Action', 'Adventure', 'Drama']","['Action', 'Adventure', 'Drama']",6.7331,0.0,0.0,False,False
9352,EuroTrip,2004,25000000.0,22605153.0,92.0,['Comedy'],['Comedy'],10.1309,0.0,0.0,False,False
10740,Birth,2004,20000000.0,23900000.0,100.0,"['Drama', 'Mystery']","['Drama', 'Mystery']",8.1208,0.0,0.0,False,False
393,Kill Bill: Vol. 2,2004,30000000.0,152159461.0,136.0,"['Action', 'Crime', 'Thriller']","['Action', 'Crime', 'Thriller']",9.7416,0.0,0.0,False,False
188348,In the Face of Evil: Reagan's War in Word and Deed,2004,500000.0,110577.0,107.0,['Documentary'],['Documentary'],11.4372,0.0,0.0,False,False
27,9 Songs,2004,1000000.0,1574623.0,70.0,"['Drama', 'Music', 'Romance']","['Drama', 'Music', 'Romance']",8.452,0.0,0.0,False,False
4836,Layer Cake,2004,6500000.0,11900000.0,105.0,"['Drama', 'Thriller', 'Crime']","['Drama', 'Thriller', 'Crime']",8.9166,0.0,0.0,False,False
