tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
14809,tt0286152,Stark Raving Mad,2002,"Comedy, Crime, Action",5000000,54028,6.061,82
26793,tt0291131,The Devils,2002,Drama,0,52047,6.2,37
33320,tt0291350,Millennium Actress,2002,"Drama, Animation, Romance, Fantasy",0,37641,7.8,988
81083,tt0355742,Manmadhudu,2002,"Comedy, Drama",0,37000,7.136,22
1836,tt0337961,In My Skin,2002,"Drama, Horror",2000000,31046,6.0,139
30863,tt0277909,Mutant Aliens,2002,"Animation, Comedy, Science Fiction",200000,29687,6.224,29
81540,tt0270688,Teknolust,2002,"Comedy, Drama, Romance, Science Fiction",0,28554,4.25,38
57351,tt0235553,Love and a Bullet,2002,"Action, Thriller, Comedy, Crime, Romance",0,18926,4.4,18
19085,tt0120467,Vulgar,2002,"Drama, Horror, Thriller, Crime",120000,14904,5.3,49
21925,tt0145937,Naqoyqatsi,2002,Documentary,3000000,13000,6.1,153
23986,tt0321781,Cremaster 3,2002,"Drama, Fantasy",4000000,11047,6.53,33
47226,tt0308363,Waiting for Happiness,2002,Drama,0,7406,6.3,28
37857,tt0119004,Don's Plum,2002,Drama,0,6297,5.3,94
80291,tt0333089,Open My Heart,2002,Drama,5000,4381,4.3,13
1778,tt0309326,The Backyard,2002,Documentary,0,3200,7.2,9
26225,tt0280438,Ash Wednesday,2002,"Drama, Action, Crime",0,2942,5.442,43
4377,tt0355683,The Child I Never Was,2002,"Drama, Crime",0,2609,6.522,23
7294,tt0311519,The Man Without a Past,2002,"Comedy, Drama, Romance",0,921,7.412,427
167495,tt0387294,Hugo and Rosa,2002,"Documentary, Drama, Romance, TV Movie",50,60,5.0,5
161244,tt0293086,Desmundo,2002,"Drama, Romance, History",3,3,5.65,10
69006,tt0284406,Chopin: Desire for Love,2002,"Drama, Romance",0,3,5.1,16
1201092,,Project GMK: The Day Shusuke Kaneko Fought Godzilla,2002,Documentary,0,0,10.0,5
1132364,,U,2002,Not found,0,0,8.4,7
1094579,tt0363444,How we made Asterix & Obelix: Mission Cleopatra,2002,"Documentary, Comedy",0,0,7.25,16
998815,,in-,2002,Not found,0,0,7.0,5
946798,tt13682634,X-Man,2002,Animation,0,0,7.8,14
944824,tt0344779,A,2002,Documentary,0,0,6.9,19
852172,tt0306682,The Cosby Show: A Look Back,2002,"Documentary, TV Movie",0,0,7.4,5
828035,tt8021798,BlueBob Egg,2002,"Comedy, Crime",0,0,3.4,8
814403,,Let Me Go Home,2002,Drama,0,0,5.5,17
805957,tt0394608,Behind the Ultimate Spin: The Making of 'Spider-Man',2002,Documentary,0,0,5.6,8
798029,tt5619346,Married Woman on a Dating Site: Clueless Husband about Her Sexual Habits,2002,Not found,0,0,3.8,5
790073,tt0923636,Classic Albums: Elvis Presley,2002,"Music, Documentary",0,0,6.625,8
786972,tt5455626,The Main Game,2002,Drama,0,0,5.5,5
779216,tt8021436,Coyote #1,2002,Horror,0,0,5.4,7
777027,tt0338223,The Making of Gosford Park,2002,Documentary,0,0,5.0,5
741581,tt0431734,Drácula mascafierro,2002,"Comedy, Horror",0,0,4.4,5
723285,,Koszmar minionej zimy,2002,"Horror, Comedy",0,0,6.0,5
704455,,Ballchewer,2002,Drama,0,0,5.0,6
702655,tt0369667,Like a Brother,2002,Drama,0,0,3.7,8
695992,,Moscow Suburbs Elegy,2002,Drama,0,0,7.5,8
691112,,RDS/FSU/2002,2002,Not found,0,0,6.2,10
