title,release_date,budget,revenue,runtime,genres,release_year,title_clean,film,year_film,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
The Mist,2007-11-21,18000000.0,57470220.0,126.0,"['Horror', 'Science Fiction', 'Thriller']",2007,the mist,,,0.0,0.0,False,False
American Gangster,2007-11-02,100000000.0,269755430.0,157.0,"['Drama', 'Crime']",2007,american gangster,American Gangster,2007.0,2.0,0.0,True,False
I Am Legend,2007-12-12,150000000.0,585410052.0,101.0,"['Drama', 'Science Fiction', 'Thriller']",2007,i am legend,,,0.0,0.0,False,False
Aliens vs Predator: Requiem,2007-12-25,40000000.0,130290885.0,94.0,"['Action', 'Science Fiction', 'Thriller', 'Horror']",2007,aliens vs predator requiem,,,0.0,0.0,False,False
Superbad,2007-08-17,20000000.0,170800000.0,113.0,['Comedy'],2007,superbad,,,0.0,0.0,False,False
Bridge to Terabithia,2007-02-15,60000000.0,137587063.0,95.0,"['Adventure', 'Drama', 'Family']",2007,bridge to terabithia,,,0.0,0.0,False,False
Bueno,2007-03-25,14000.0,0.0,11.0,['Comedy'],2007,bueno,,,0.0,0.0,False,False
The Simpsons Movie,2007-07-25,75000000.0,527068851.0,87.0,"['Animation', 'Comedy', 'Family']",2007,the simpsons movie,,,0.0,0.0,False,False
Ghost Rider,2007-01-15,110000000.0,228738393.0,114.0,"['Thriller', 'Action', 'Fantasy']",2007,ghost rider,,,0.0,0.0,False,False
Bee Movie,2007-10-28,150000000.0,287594577.0,91.0,"['Family', 'Animation', 'Adventure', 'Comedy']",2007,bee movie,,,0.0,0.0,False,False
Vacancy,2007-04-20,19000000.0,35300645.0,85.0,"['Horror', 'Thriller']",2007,vacancy,,,0.0,0.0,False,False
The Bourne Ultimatum,2007-08-03,70000000.0,442824138.0,115.0,"['Action', 'Drama', 'Mystery', 'Thriller']",2007,the bourne ultimatum,The Bourne Ultimatum,2007.0,3.0,3.0,True,True
Сильнее огня (Двое и война),2007-03-03,0.0,0.0,0.0,['War'],2007,,,,0.0,0.0,False,False
Meer is nich,2007-10-24,0.0,0.0,102.0,['Drama'],2007,meer is nich,,,0.0,0.0,False,False
Sin,2007-12-02,0.0,0.0,97.0,"['Drama', 'TV Movie']",2007,sin,,,0.0,0.0,False,False
De Avondboot,2007-02-05,0.0,0.0,90.0,['Drama'],2007,de avondboot,,,0.0,0.0,False,False
Saw IV,2007-10-25,10000000.0,139352653.0,93.0,"['Horror', 'Thriller', 'Crime']",2007,saw iv,,,0.0,0.0,False,False
Virgin Territory,2007-12-17,38000000.0,5410749.0,93.0,"['Adventure', 'Action', 'Comedy', 'Romance']",2007,virgin territory,,,0.0,0.0,False,False
Radio Corazón,2007-10-04,0.0,0.0,107.0,['Comedy'],2007,radio corazn,,,0.0,0.0,False,False
Sunshine,2007-04-05,50000000.0,34800000.0,108.0,"['Science Fiction', 'Thriller']",2007,sunshine,,,0.0,0.0,False,False
Rush Hour 3,2007-08-08,140000000.0,258097122.0,90.0,"['Action', 'Comedy', 'Crime']",2007,rush hour 3,,,0.0,0.0,False,False
Hot Fuzz,2007-02-14,12000000.0,80600000.0,121.0,"['Crime', 'Action', 'Comedy']",2007,hot fuzz,,,0.0,0.0,False,False
Wrong Turn 2: Dead End,2007-08-25,4000000.0,0.0,97.0,"['Horror', 'Thriller']",2007,wrong turn 2 dead end,,,0.0,0.0,False,False
Otome wa Boku ni Koishiteru Special,2007-04-21,0.0,0.0,24.0,"['Animation', 'Comedy', 'Romance']",2007,otome wa boku ni koishiteru special,,,0.0,0.0,False,False
Life Kills Me,2007-11-01,0.0,0.0,92.0,"['Comedy', 'Drama']",2007,life kills me,,,0.0,0.0,False,False
Ocean's Thirteen,2007-06-05,85000000.0,311312624.0,122.0,"['Crime', 'Thriller']",2007,oceans thirteen,,,0.0,0.0,False,False
Into the Wild,2007-09-21,15000000.0,56255142.0,148.0,"['Adventure', 'Drama']",2007,into the wild,Into the Wild,2007.0,2.0,0.0,True,False
National Treasure: Book of Secrets,2007-12-19,130000000.0,459200000.0,124.0,"['Action', 'Adventure', 'Mystery', 'Thriller']",2007,national treasure book of secrets,,,0.0,0.0,False,False
Shawls,2007-07-18,0.0,0.0,95.0,['Romance'],2007,shawls,,,0.0,0.0,False,False
Live Free or Die Hard,2007-06-20,110000000.0,383531464.0,128.0,"['Action', 'Thriller']",2007,live free or die hard,,,0.0,0.0,False,False
"Lust, Caution",2007-09-24,15000000.0,67100000.0,158.0,"['Action', 'Drama', 'Romance', 'Thriller']",2007,lust caution,,,0.0,0.0,False,False
Movie - An Introduction to the Philosophy of Auteur Film Making,2007-02-09,321795.0,0.0,84.0,['Drama'],2007,movie  an introduction to the philosophy of auteur film making,,,0.0,0.0,False,False
Zincirbozan,2007-04-11,0.0,458625.0,110.0,"['Drama', 'Crime', 'History']",2007,zincirbozan,,,0.0,0.0,False,False
Fantastic Four: Rise of the Silver Surfer,2007-06-13,130000000.0,301913131.0,92.0,"['Science Fiction', 'Adventure', 'Action']",2007,fantastic four rise of the silver surfer,,,0.0,0.0,False,False
The Dead Peasants Society,2007-05-31,0.0,0.0,70.0,[],2007,the dead peasants society,,,0.0,0.0,False,False
