ID;title;rating;release_date;original_language;IMDb_ID;genre;plot;box_office_domestic;box_office_worldwide;extracted_plotpoints;Used_Plotphrases;Best_Match_Phrase;Similarity_Score
1155;Shut In;6.797;2022-03-24;en;tt10131024;Drama, Thriller;When a young mother is barricaded inside a pantry by her violent ex-boyfriend, she must use ingenuity to protect her two small children from escalating danger while finding an escape.;;304106;['ingenuity protect', 'children escalating danger', 'use ingenuity protect', 'inside pantry violent', 'ingenuity protect small', 'barricaded inside pantry', 'escalating danger finding', 'escalating danger', 'pantry violent ex', 'use ingenuity', 'boyfriend use ingenuity', 'pantry violent', 'inside pantry', 'protect small children', 'mother barricaded inside', 'children escalating', 'small children escalating', 'danger finding escape', 'young mother barricaded', 'danger finding', 'barricaded inside', 'mother barricaded', 'young mother', 'protect small', 'violent ex', 'finding escape', 'small children', 'violent ex boyfriend', 'ex boyfriend use', 'ex boyfriend', 'boyfriend use'];False;trapped inside;0.37378913164138794
1156;Elevator Game;4.927;2023-07-12;en;tt14013772;Horror, Thriller;Supernatural horror, based on the eponymous online phenomenon, a ritual conducted in an elevator, in which players attempt to travel to another dimension using a set of rules that can be found online.;;302271;['supernatural horror', 'supernatural horror based', 'online phenomenon ritual', 'horror based', 'ritual conducted elevator', 'horror based eponymous', 'eponymous online phenomenon', 'online phenomenon', 'phenomenon ritual', 'phenomenon ritual conducted', 'elevator players attempt', 'elevator players', 'ritual conducted', 'conducted elevator players', 'conducted elevator', 'attempt travel', 'based eponymous online', 'eponymous online', 'attempt travel dimension', 'players attempt travel', 'rules online', 'travel dimension', 'set rules online', 'travel dimension using', 'players attempt', 'based eponymous', 'set rules', 'dimension using', 'dimension using set', 'using set rules', 'using set'];True;supernatural events;0.6121992468833923
1157;La Llorona;6.385;2019-07-25;es;tt10767168;Crime, Drama, Horror;An aging paranoid war criminal, protected by his faithful wife, faces death while being haunted by the ghosts of his past.;;294404;['aging paranoid war', 'paranoid war criminal', 'aging paranoid', 'death haunted', 'death haunted ghosts', 'faces death haunted', 'paranoid war', 'wife faces death', 'haunted ghosts past', 'war criminal', 'haunted ghosts', 'protected faithful wife', 'criminal protected faithful', 'ghosts past', 'war criminal protected', 'faces death', 'faithful wife faces', 'faithful wife', 'criminal protected', 'protected faithful', 'wife faces'];False;serial killer;0.43385395407676697
1158;Havenhurst;5.1;2016-08-22;en;tt3424690;Horror, Mystery, Thriller;A troubled young woman takes up residence in a gothic apartment building where she must confront a terrifying evil.;;289299;['residence gothic apartment', 'gothic apartment building', 'gothic apartment', 'takes residence gothic', 'troubled young woman', 'woman takes residence', 'residence gothic', 'apartment building confront', 'confront terrifying evil', 'building confront terrifying', 'apartment building', 'young woman takes', 'confront terrifying', 'young woman', 'terrifying evil', 'woman takes', 'takes residence', 'building confront', 'troubled young'];False;young woman;0.3960709273815155
1159;Wind Chill;5.832;2007-05-18;en;tt0486051;Adventure, Drama, Horror;A couple of college students known only as the Girl and the Guy are traveling home to Delaware the day before Christmas Eve. They're on a frozen road that the Guy is convinced is a scenic short-cut. In the middle of nowhere in below freezing conditions they are run off the road by a hit and runner. They soon realize they're caught in a supernatural bubble where a crime from 1953 is doomed to repeat itself, year after year threatening new victims. The Guy attempts to walk back to the last petrol station but his wounds from the crash are worse than he let on.;$36,804;285060;['frozen road', 'supernatural bubble crime', 'eve frozen road', 'caught supernatural bubble', 'frozen road guy', 'bubble crime', 'supernatural bubble', 'crime 1953 doomed', 'bubble crime 1953', 'middle freezing', 'road hit runner', 'girl guy traveling', 'students known girl', 'road hit', 'freezing conditions run', 'christmas eve frozen', 'wounds crash', 'college students known', 'road guy convinced', 'victims guy attempts', 'freezing conditions', '1953 doomed', 'run road', 'run road hit', 'eve frozen', '1953 doomed repeat', 'couple college students', 'conditions run road', 'guy traveling home', 'guy traveling', 'wounds crash worse', 'convinced scenic short', 'caught supernatural', 'guy convinced scenic', 'hit runner', 'attempts walk', 'runner soon realize', 'crash worse let', 'students known', 'middle freezing conditions', 'cut middle freezing', 'college students', 'traveling home', 'road guy', 'traveling home delaware', 'station wounds crash', 'new victims', 'doomed repeat', 'threatening new victims', 'attempts walk petrol', 'guy attempts walk', 'scenic short cut', 'delaware day christmas', 'doomed repeat year', 'guy attempts', 'couple college', 'new victims guy', 'short cut', 'convinced scenic', 'conditions run', 'guy convinced', 'known girl guy', 'year year threatening', 'station wounds', 'home delaware day', 'realize caught', 'threatening new', 'day christmas eve', 'girl guy', 'walk petrol station', 'cut middle', 'worse let', 'soon realize', 'repeat year', 'year year'];False;supernatural events;0.45089998841285706
1160;Maa;6.807;2025-06-20;hi;tt30496762;Horror;A mother transforms into the goddess Kali to battle a demon's curse involving fear, blood, and betrayal.;;282403;['transforms goddess kali', 'mother transforms goddess', 'goddess kali battle', 'kali battle demon', 'goddess kali', 'kali battle', 'transforms goddess', 'battle demon curse', 'demon curse involving', 'demon curse', 'mother transforms', 'curse involving fear', 'battle demon', 'curse involving', 'fear blood betrayal', 'involving fear blood', 'blood betrayal', 'fear blood', 'involving fear'];False;vampire slayer;0.3536648750305176
1161;Isolation;5.522;2005-11-06;en;tt0446719;Horror, Sci-Fi, Thriller;"The broken farmer Dan rents his farm for the scientist John from the Bovine Genetics Technology that is researching genetic modifications of cattle to increase its fertilization. The veterinarian Orla is bitten by the calf while helping the cow to deliver, and she feels that something went wrong with the experiment. During the night, the cow has a narrow passage for the calf, and Dan asks the young couple Jamie and Mary that is parked in a trailer in front of his farm's entrance to help him in the delivery. When the offspring is born, it bites Dan; Orla arrives later and realizes that it is a genetic anomaly and she sacrifices the calf. During the autopsy of the animal, she discovers that the fetus is pregnant and she destroys the freak hybrids. However, one of them escapes and attacks a cow first and Jamie later. When John arrives in the farm, he discovers that there is the danger of infection of human beings and decides to quarantine the spot. But one offspring is alive and need to be captured.";;278056;['broken farmer dan', 'broken farmer', 'calf helping cow', 'helping cow', 'farmer dan', 'genetic modifications cattle', 'helping cow deliver', 'escapes attacks cow', 'attacks cow', 'cow jamie later', 'attacks cow jamie', 'modifications cattle', 'calf dan', 'calf dan asks', 'cattle increase fertilization', 'calf autopsy animal', 'farm discovers danger', 'farmer dan rents', 'bovine genetics', 'bitten calf helping', 'experiment night cow', 'cow narrow passage', 'cow deliver feels', 'sacrifices calf autopsy', 'orla bitten calf', 'arrives farm', 'farm discovers', 'john arrives farm', 'night cow', 'anomaly sacrifices calf', 'animal discovers fetus', 'animal discovers', 'farm scientist john', 'pregnant destroys freak', 'john bovine', 'cattle increase', 'later realizes genetic', 'offspring born', 'offspring alive need', 'fertilization veterinarian orla', 'veterinarian orla bitten', 'spot offspring alive', 'dan orla arrives', 'help delivery offspring', 'passage calf', 'destroys freak hybrids', 'bites dan', 'increase fertilization veterinarian', 'genetic anomaly sacrifices', 'autopsy animal', 'fetus pregnant destroys', 'farm entrance help', 'rents farm', 'realizes genetic anomaly', 'trailer farm entrance', 'quarantine spot offspring', 'born bites', 'mary parked trailer', 'hybrids escapes', 'discovers danger infection', 'beings decides quarantine', 'genetics technology', 'dan asks young', 'later john arrives', 'infection human', 'genetic modifications', 'arrives later realizes', 'couple jamie mary', 'human beings decides', 'alive need captured', 'went wrong experiment', 'feels went', 'technology researching', 'asks young couple', 'entrance help'];False;fight survival;0.35415154695510864
1162;The Pack;4.684;2010-09-29;fr;tt1336601;Horror;A young female Charlotte on a road trip all alone gets harassed by a group of bikers at a snack store and later she gives lift to a hitchhiker Max. They both stop at a rundown roadside eatery run by a woman. The biker gang reappears at the eatery and when one of the gang members is about to rape Max, the entire gang is chased off by the owner of the restaurant. Moments later, Max vanishes after heading to the bathroom. Charlotte questions the owner and a retired cop but to no avail.;;274839;['eatery run woman', 'woman biker gang', 'chased owner restaurant', 'roadside eatery run', 'entire gang chased', 'gang chased owner', 'female charlotte road', 'run woman biker', 'hitchhiker max', 'gang chased', 'roadside eatery', 'charlotte road trip', 'rundown roadside eatery', 'biker gang', 'eatery gang members', 'eatery gang', 'hitchhiker max stop', 'gang reappears eatery', 'reappears eatery gang', 'female charlotte', 'lift hitchhiker max', 'young female charlotte', 'chased owner', 'run woman', 'max entire gang', 'biker gang reappears', 'entire gang', 'rape max', 'woman biker', 'eatery run', 'charlotte road', 'charlotte questions', 'charlotte questions owner', 'harassed group bikers', 'gang members rape', 'lift hitchhiker', 'rape max entire', 'bathroom charlotte', 'bikers snack store', 'heading bathroom charlotte', 'members rape max', 'owner restaurant', 'owner restaurant moments', 'gang members', 'bathroom charlotte questions', 'gang reappears', 'gives lift hitchhiker', 'max stop', 'gets harassed', 'restaurant moments later', 'group bikers', 'rundown roadside', 'reappears eatery', 'young female', 'members rape', 'road trip gets', 'trip gets harassed', 'group bikers snack', 'later max', 'harassed group', 'max entire', 'later max vanishes', 'max stop rundown', 'moments later max', 'max vanishes heading', 'owner retired cop', 'heading bathroom', 'snack store later', 'vanishes heading bathroom', 'stop rundown', 'questions owner', 'gives lift', 'store later gives', 'cop avail', 'later gives'];False;serial killer;0.33883804082870483
1163;The Last Breath;6.003;2024-06-28;en;tt14827150;Horror, Thriller;A group of old college friends reunite on a Caribbean scuba diving trip exploring the wreckage of a WWII battleship and find themselves trapped inside the underwater labyrinth of rusted metal surrounded by great white sharks.;$3,214;273650;['reunite caribbean scuba', 'friends reunite caribbean', 'diving trip exploring', 'college friends reunite', 'trapped inside underwater', 'friends reunite', 'caribbean scuba diving', 'scuba diving trip', 'underwater labyrinth', 'old college friends', 'diving trip', 'inside underwater labyrinth', 'scuba diving', 'caribbean scuba', 'inside underwater', 'reunite caribbean', 'battleship trapped inside', 'exploring wreckage wwii', 'group old college', 'underwater labyrinth rusted', 'battleship trapped', 'trip exploring wreckage', 'wwii battleship trapped', 'exploring wreckage', 'white sharks', 'wreckage wwii battleship', 'great white sharks', 'college friends', 'wreckage wwii', 'group old', 'wwii battleship', 'trapped inside', 'trip exploring', 'old college', 'labyrinth rusted', 'labyrinth rusted metal', 'surrounded great', 'surrounded great white', 'metal surrounded great', 'metal surrounded', 'rusted metal surrounded', 'great white', 'rusted metal'];False;group friends;0.37379300594329834
1164;Rottweiler;3.336;2004-12-01;en;tt0371920;Action, Horror, Sci-Fi;In 2018, in Spain, the prisoner Dante (William Miller) escapes from a prison and is chased by a robot dog. He tries to reach the city of Puerto Angel, where he left his beloved girlfriend Ula (Irene Montalà). While running away, he recalls his recent past in Spain with Ula.;;270402;['spain prisoner dante', 'prisoner dante', 'prisoner dante william', 'dante william miller', 'dante william', 'miller escapes prison', 'spain prisoner', '2018 spain prisoner', 'william miller escapes', 'miller escapes', 'escapes prison', 'ula irene montalà', 'spain ula', 'girlfriend ula irene', 'escapes prison chased', 'past spain ula', 'puerto angel left', 'girlfriend ula', 'ula irene', 'puerto angel', 'prison chased robot', 'beloved girlfriend ula', 'prison chased', 'chased robot dog', 'robot dog', 'city puerto angel', 'william miller', 'robot dog tries', 'angel left', 'montalà running away', 'angel left beloved', 'past spain', 'dog tries', 'city puerto', 'irene montalà', 'chased robot', 'recent past spain', '2018 spain', 'running away', 'reach city puerto', 'irene montalà running', 'dog tries reach', 'montalà running', 'left beloved girlfriend', 'recent past', 'running away recalls', 'away recalls', 'beloved girlfriend', 'left beloved', 'tries reach city', 'away recalls recent', 'reach city', 'tries reach', 'recalls recent past', 'recalls recent'];False;trapped inside;0.3306349217891693
1165;Psycho Beach Party;5.7;2000-08-06;en;tt0206226;Comedy, Horror, Mystery;"Spoof of 1960s Beach Party/Gidget surfing movies mixed with slasher horror films. Florence Forrest, a not-so-innocent girl in 1960s Malibu, becomes ""Chicklet"", the first girl surfer at Malibu Beach. Only Florence suffers from dissociative identity disorder and, occasionally, her alter ego ""Ann Bowman"", a sexually aggressive, foul-speaking girl, comes out, during which time several beach goers are found murdered. The suspects include Chicklet herself, surfer Kanaka, exchange student Lars, and even Chicklet's own mother.";$268,117;268117;['chicklet girl surfer', 'chicklet surfer', 'malibu chicklet girl', 'girl surfer malibu', 'chicklet girl', 'include chicklet surfer', '1960s malibu chicklet', 'chicklet surfer kanaka', 'girl surfer', 'malibu chicklet', 'girl 1960s malibu', 'chicklet mother', 'suspects include chicklet', 'surfer malibu beach', 'girl 1960s', 'surfer malibu', 'innocent girl 1960s', 'spoof 1960s beach', 'malibu beach florence', 'beach florence suffers', 'beach goers murdered', 'florence forrest', 'florence forrest innocent', 'lars chicklet mother', '1960s beach', 'beach florence', '1960s beach party', 'films florence forrest', 'forrest innocent girl', 'student lars chicklet', 'include chicklet', 'malibu beach', 'ann bowman sexually', '1960s malibu', 'ann bowman', 'surfer kanaka', 'lars chicklet', 'beach goers', 'ego ann bowman', 'surfing movies', 'surfing movies mixed', 'horror films florence', 'beach party', 'alter ego ann', 'innocent girl', 'ego ann', 'beach party gidget', 'films florence', 'girl comes time', 'time beach goers', 'foul speaking girl', 'girl comes', 'spoof 1960s', 'florence suffers dissociative', 'goers murdered suspects', 'surfer kanaka exchange', 'murdered suspects', 'gidget surfing movies', 'comes time beach', 'bowman sexually aggressive', 'horror films', 'suspects include', 'speaking girl', 'identity disorder occasionally', 'sexually aggressive foul', 'occasionally alter ego', 'slasher horror', 'disorder occasionally alter', 'dissociative identity', 'mixed slasher', 'party gidget', 'suffers dissociative', 'comes time', 'occasionally alter', 'kanaka exchange student'];False;begins suspect;0.36360591650009155
1166;Riding the Bullet;5.062;2004-10-15;en;tt0355954;Horror, Thriller;A young man hitchhiking back home to visit his mother is picked up by a mysterious stranger. As the ride goes on, the young man uncovers a terrible secret about the stranger, and is given a choice by the stranger. A choice that can mean life or death.;$134,711;264505;['young man hitchhiking', 'man hitchhiking', 'stranger given choice', 'stranger choice mean', 'choice stranger choice', 'man hitchhiking home', 'given choice stranger', 'picked mysterious stranger', 'mysterious stranger ride', 'hitchhiking home', 'stranger choice', 'choice stranger', 'mysterious stranger', 'mother picked mysterious', 'hitchhiking home visit', 'stranger ride', 'secret stranger given', 'choice mean life', 'stranger ride goes', 'terrible secret stranger', 'secret stranger', 'picked mysterious', 'stranger given', 'choice mean', 'given choice', 'visit mother picked', 'mother picked', 'young man uncovers', 'goes young man', 'man uncovers terrible', 'ride goes young', 'home visit mother', 'young man', 'life death', 'mean life death', 'goes young', 'uncovers terrible secret', 'visit mother', 'home visit', 'man uncovers', 'mean life', 'ride goes', 'terrible secret', 'uncovers terrible'];False;returns home;0.3867848515510559
1167;May;6.591;2003-04-11;en;tt0303361;Drama, Horror;When May was a child, she was a lonely girl with a lazy eye and without any friends except a strange, homemade doll kept in a glass case given by her mother on her birthday. May becomes a lonely, weird young woman, working in an animal hospital and assisting the veterinarian in surgeries and sewing operated animals most of the time. Her lesbian colleague Polly has a sort of attraction for her. When the shy May meets the mechanic Adam Stubbs, she loves his hands and has a crush on him. They date, but the bizarre behavior of May one night pushes Adam away from her. Alone, May has a brief affair with Polly, but she feels rejected again when her colleague meets Ambrosia. When her doll is accidentally broken, the deranged May decides to build a friend for her, using the best parts her acquaintances can offer.;$150,277;264349;['lesbian colleague polly', 'brief affair polly', 'affair polly feels', 'ambrosia doll accidentally', 'meets ambrosia doll', 'strange homemade doll', 'doll accidentally broken', 'affair polly', 'doll accidentally', 'colleague polly', 'doll kept glass', 'polly feels', 'ambrosia doll', 'child lonely girl', 'polly feels rejected', 'homemade doll', 'polly sort attraction', 'eye friends strange', 'homemade doll kept', 'time lesbian colleague', 'doll kept', 'girl lazy eye', 'lesbian colleague', 'colleague polly sort', 'lonely weird young', 'lonely girl', 'away brief affair', 'friends strange homemade', 'colleague meets ambrosia', 'lonely girl lazy', 'friends strange', 'shy meets mechanic', 'parts acquaintances', 'lazy eye friends', 'weird young woman', 'bizarre behavior', 'crush date bizarre', 'shy meets', 'birthday lonely weird', 'glass case given', 'colleague meets', 'case given mother', 'hands crush', 'animals time lesbian', 'sort attraction', 'meets ambrosia', 'adam away brief', 'weird young', 'mother birthday', 'behavior night', 'date bizarre behavior', 'meets mechanic adam', 'accidentally broken', 'given mother', 'attraction shy', 'meets mechanic', 'strange homemade', 'loves hands', 'friend using best', 'feels rejected colleague', 'stubbs loves hands', 'deranged decides', 'night pushes adam', 'acquaintances offer', 'sewing operated', 'adam stubbs loves', 'build friend', 'case given', 'accidentally broken deranged', 'young woman working', 'best parts', 'working animal hospital', 'operated animals', 'hospital assisting', 'decides build'];False;young woman;0.377591609954834
1168;Wyrmwood: Apocalypse;5.803;2022-02-10;en;tt14858054;Action, Comedy, Horror;In a zombie-infested Australian wasteland, soldier Rhys has dedicated his life to tracking and capturing survivors for the Surgeon General in hopes of finding a cure.;;263293;['wasteland soldier rhys', 'rhys dedicated life', 'soldier rhys', 'soldier rhys dedicated', 'rhys dedicated', 'wasteland soldier', 'capturing survivors surgeon', 'dedicated life tracking', 'life tracking capturing', 'australian wasteland soldier', 'capturing survivors', 'life tracking', 'tracking capturing survivors', 'survivors surgeon', 'zombie infested australian', 'survivors surgeon general', 'zombie infested', 'dedicated life', 'australian wasteland', 'infested australian wasteland', 'tracking capturing', 'surgeon general', 'surgeon general hopes', 'hopes finding cure', 'infested australian', 'general hopes finding', 'finding cure', 'general hopes', 'hopes finding'];False;fight survival;0.33299756050109863
1169;Subservience;6.632;2024-08-15;en;tt24871974;Sci-Fi, Thriller;A struggling father purchases a domestic SIM to help care for his family, unaware she will gain self-awareness.;;262793;['domestic sim help', 'domestic sim', 'purchases domestic sim', 'father purchases domestic', 'sim help care', 'struggling father purchases', 'father purchases', 'care family unaware', 'gain self awareness', 'family unaware gain', 'self awareness', 'sim help', 'family unaware', 'struggling father', 'help care family', 'purchases domestic', 'unaware gain self', 'care family', 'help care', 'gain self', 'unaware gain'];False;single mother;0.307944655418396
1170;The Offering;5.2;2016-05-06;en;tt3894404;Drama, Horror, Mystery;When young and successful reporter Jamie finds out that her sister has died in mysterious circumstances, she travels to Singapore to uncover the truth. There, she discovers multiple deaths linked to her sister's and must join forces with her sister's husband in order to defeat a demonic entity that is using new technology to complete an ancient mission.;;261895;['jamie finds sister', 'reporter jamie finds', 'sister died mysterious', 'reporter jamie', 'finds sister died', 'successful reporter jamie', 'deaths linked sister', 'jamie finds', 'sister died', 'died mysterious circumstances', 'died mysterious', 'finds sister', 'discovers multiple deaths', 'linked sister', 'forces sister husband', 'sister join forces', 'forces sister', 'mysterious circumstances', 'sister join', 'sister husband', 'uncover truth discovers', 'singapore uncover truth', 'young successful reporter', 'join forces sister', 'deaths linked', 'truth discovers', 'sister husband order', 'mysterious circumstances travels', 'multiple deaths linked', 'linked sister join', 'travels singapore uncover', 'multiple deaths', 'successful reporter', 'truth discovers multiple', 'uncover truth', 'discovers multiple', 'singapore uncover', 'circumstances travels singapore', 'travels singapore', 'circumstances travels', 'demonic entity', 'ancient mission', 'defeat demonic entity', 'husband order defeat', 'young successful', 'order defeat', 'demonic entity using', 'defeat demonic', 'order defeat demonic', 'join forces', 'complete ancient mission', 'technology complete', 'using new technology', 'new technology', 'husband order', 'using new', 'entity using new', 'new technology complete', 'entity using', 'complete ancient', 'technology complete ancient'];False;supernatural events;0.41563916206359863
1171;Dark Touch;5.103;2013-09-27;en;tt2328549;Horror;In a remote town in Ireland, eleven-year-old Niamh finds herself the sole survivor of a bloody massacre that killed her parents and younger brother. Suspecting a gang of homicidal vandals, the police ignore Niamh's explanation that the house is the culprit. To help ease her trauma, dutiful neighbors Nat and Lucas take her in with the supervision of a social worker. Niamh has trouble finding peace with the wholesome and nurturing couple, and horrific danger continues to manifest.;;256979;['year old niamh', 'niamh trouble', 'niamh explanation house', 'old niamh finds', 'niamh finds', 'niamh explanation', 'police ignore niamh', 'old niamh', 'ignore niamh explanation', 'ignore niamh', 'niamh trouble finding', 'niamh finds sole', 'trauma dutiful neighbors', 'worker niamh', 'worker niamh trouble', 'neighbors nat lucas', 'social worker niamh', 'massacre killed parents', 'killed parents younger', 'ireland year old', 'killed parents', 'survivor bloody massacre', 'bloody massacre killed', 'remote town ireland', 'gang homicidal vandals', 'bloody massacre', 'nurturing couple horrific', 'homicidal vandals police', 'nat lucas supervision', 'neighbors nat', 'brother suspecting gang', 'suspecting gang homicidal', 'massacre killed', 'homicidal vandals', 'vandals police', 'dutiful neighbors nat', 'couple horrific danger', 'dutiful neighbors', 'younger brother suspecting', 'nat lucas', 'parents younger brother', 'suspecting gang', 'gang homicidal', 'brother suspecting', 'horrific danger', 'town ireland', 'horrific danger continues', 'lucas supervision social', 'couple horrific', 'trauma dutiful', 'peace wholesome nurturing', 'lucas supervision', 'finds sole survivor', 'ease trauma dutiful', 'parents younger', 'explanation house culprit', 'survivor bloody', 'finding peace', 'help ease trauma', 'explanation house', 'wholesome nurturing', 'house culprit help', 'remote town', 'town ireland year', 'vandals police ignore', 'culprit help ease', 'peace wholesome', 'danger continues', 'year old', 'finds sole', 'culprit help', 'supervision social', 'help ease', 'trouble finding', 'continues manifest'];False;serial killer;0.40117302536964417
1172;Resident Evil: Vendetta;6.9;2017-05-27;ja;tt5776208;Animation, Action, Adventure;The saga of Resident Evil continues in Vendetta, and Chris Redfield, Leon Kennedy and Rebecca Chambers must unite to save America from a threat as dire as The Umbrella Corporation: a virus that can be triggered by simply being inhaled. The biological warfare of Resident Evil rages on, and only Raccoon City's finest can stop it from destroying the world.;;256320;['resident evil', 'resident evil continues', 'resident evil rages', 'evil continues vendetta', 'warfare resident evil', 'evil rages raccoon', 'saga resident evil', 'evil continues', 'continues vendetta chris', 'continues vendetta', 'vendetta chris redfield', 'save america threat', 'rages raccoon city', 'vendetta chris', 'rages raccoon', 'evil rages', 'america threat dire', 'america threat', 'raccoon city finest', 'raccoon city', 'threat dire umbrella', 'umbrella corporation virus', 'threat dire', 'unite save america', 'save america', 'corporation virus triggered', 'corporation virus', 'destroying world', 'biological warfare resident', 'inhaled biological warfare', 'dire umbrella corporation', 'virus triggered simply', 'biological warfare', 'rebecca chambers unite', 'stop destroying world', 'dire umbrella', 'virus triggered', 'unite save', 'stop destroying', 'finest stop destroying', 'redfield leon kennedy', 'chris redfield', 'chambers unite save', 'triggered simply inhaled', 'warfare resident', 'saga resident', 'rebecca chambers', 'simply inhaled', 'kennedy rebecca chambers', 'redfield leon', 'simply inhaled biological', 'kennedy rebecca', 'leon kennedy rebecca', 'chris redfield leon', 'umbrella corporation', 'chambers unite', 'city finest stop', 'city finest', 'inhaled biological', 'leon kennedy', 'finest stop', 'triggered simply'];False;evil spirit;0.4141252338886261
1173;The 100 Candles Game;5.664;2020-11-13;en;tt12739994;Horror;A group of friends must confront their fears in a terrifying game. They must sit by the other players in a circle made of a hundred candles, take one of them and tell a horror story. As stories are told and candles blown out, strange events will start to happen. They will feel strange presences around them, lurking in the shadows. But they MUST NOT leave the game or else a terrible curse will fall upon them.;;252494;['candles tell horror', 'friends confront fears', 'fears terrifying game', 'terrifying game', 'players circle candles', 'candles blown strange', 'presences lurking shadows', 'terrifying game sit', 'feel strange presences', 'stories told candles', 'confront fears terrifying', 'strange presences', 'lurking shadows', 'horror story stories', 'shadows leave game', 'confront fears', 'strange presences lurking', 'candles blown', 'fears terrifying', 'group friends confront', 'candles tell', 'circle candles', 'circle candles tell', 'blown strange events', 'lurking shadows leave', 'friends confront', 'game terrible curse', 'tell horror story', 'told candles blown', 'strange events', 'group friends', 'shadows leave', 'horror story', 'told candles', 'blown strange', 'terrible curse fall', 'strange events start', 'tell horror', 'terrible curse', 'curse fall', 'presences lurking', 'players circle', 'game terrible', 'sit players circle', 'events start happen', 'game sit players', 'leave game terrible', 'story stories', 'story stories told', 'happen feel strange', 'feel strange', 'sit players', 'game sit', 'events start', 'stories told', 'leave game', 'start happen feel', 'start happen', 'happen feel'];True;supernatural events;0.5636677742004395
1174;The Human Centipede (First Sequence);5.187;2009-10-31;en;tt1467304;Horror;"Two pretty but ditsy American girls are on a road trip through Europe. In Germany, they end up alone at night with a broken car in the woods. They search for help and find an isolated villa. The next day, they awaken to find themselves trapped in a terrifying makeshift basement hospital along with a Japanese man. An older German man identifies himself as a retired surgeon specialized in separating Siamese twins. However, his three ""patients"" are not about to be separated but joined together in a horrific operation. He plans to be the first person to connect people via their gastric systems. By doing so, he plans to bring to life his sick lifetime fantasy, the human centipede.";$181,467;252207;['fantasy human centipede', 'human centipede', 'ditsy american girls', 'pretty ditsy american', 'ditsy american', 'siamese twins', 'lifetime fantasy human', 'people gastric', 'separating siamese twins', 'siamese twins patients', 'connect people gastric', 'pretty ditsy', 'fantasy human', 'separating siamese', 'sick lifetime fantasy', 'american girls', 'people gastric systems', 'patients separated', 'separated joined horrific', 'girls road trip', 'life sick lifetime', 'hospital japanese man', 'sick lifetime', 'german man', 'american girls road', 'horrific operation', 'man older german', 'horrific operation plans', 'bring life sick', 'surgeon specialized separating', 'german man identifies', 'twins patients', 'life sick', 'hospital japanese', 'trapped terrifying makeshift', 'basement hospital japanese', 'trapped terrifying', 'japanese man', 'lifetime fantasy', 'terrifying makeshift', 'joined horrific operation', 'girls road', 'makeshift basement hospital', 'road trip', 'road trip europe', 'identifies retired surgeon', 'terrifying makeshift basement', 'gastric systems', 'japanese man older', 'connect people', 'bring life', 'surgeon specialized', 'trip europe germany', 'europe germany', 'isolated villa', 'germany end', 'specialized separating', 'man older', 'plans person connect', 'man identifies', 'broken car', 'awaken trapped', 'help isolated', 'broken car woods', 'identifies retired', 'villa day', 'night broken', 'day awaken', 'separated joined', 'plans bring', 'end night', 'operation plans', 'woods search', 'systems doing', 'search help'];False;road trip;0.4418637752532959
1175;Dominion: Prequel to The Exorcist;5.348;2005-05-20;en;tt0449086;Drama, Horror, Thriller;Lankester Merrin is a archaeologist by profession but an ordained Roman Catholic priest who has lost his faith and abandoned his vocation. He is haunted by what he was forced to do in his native Holland during World War II. The church he's excavated in Northern Kenyan dates to the Byzantine period but this puts its construction hundreds of years before Christianity was introduced to the area. the church was buried to the rooftop in sand and as its structure is exposed, a madness slowly descends on the camp. the local tribesmen are prepared to go to war and demand that the church be buried. Soon, two British soldiers are found dead and their commanding officer, Major Granville, shoots a innocent civilian in cold blood. As fear descends upon everyone in the camp, it becomes apparent that a young disabled boy, Cheche, is possessed by the devil forcing Merrin to re-examine his own beliefs.;$251,495;251495;['lankester merrin archaeologist', 'lankester merrin', 'merrin archaeologist', 'merrin archaeologist profession', 'merrin examine beliefs', 'priest lost faith', 'merrin examine', 'boy cheche possessed', 'catholic priest lost', 'church excavated', 'church excavated northern', 'church buried soon', 'forcing merrin', 'forcing merrin examine', 'devil forcing merrin', 'buried soon british', 'ii church excavated', 'roman catholic priest', 'war ii church', 'cheche possessed devil', 'haunted forced native', 'british soldiers dead', 'church buried rooftop', 'faith abandoned', 'dead commanding officer', 'disabled boy cheche', 'soldiers dead commanding', 'innocent civilian', 'excavated northern kenyan', 'demand church buried', 'british soldiers', 'excavated northern', 'faith abandoned vocation', 'vocation haunted forced', 'haunted forced', 'archaeologist profession ordained', 'camp apparent young', 'ii church', 'byzantine period', 'area church', 'camp local tribesmen', 'descends camp local', 'granville shoots innocent', 'possessed devil', 'kenyan dates byzantine', 'fear descends camp', 'young disabled boy', 'christianity introduced area', 'shoots innocent', 'forced native holland', 'apparent young', 'tribesmen prepared', 'hundreds years christianity', 'northern kenyan', 'lost faith', 'cold blood fear', 'civilian cold', 'demand church', 'profession ordained roman', 'madness slowly descends', 'abandoned vocation', 'buried rooftop sand', 'examine beliefs', 'soon british', 'structure exposed madness', 'officer major', 'world war ii', 'slowly descends', 'major granville', 'holland world', 'puts construction', 'introduced area', 'prepared war demand', 'sand structure exposed', 'construction hundreds'];False;begins suspect;0.31004226207733154
