id,title,release_year,budget,revenue,runtime,main_genre,popularity,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
9300,Orlando,1992,4000000.0,5377643.0,94.0,Drama,5.2085,0.0,0.0,False,False
11287,A League of Their Own,1992,40000000.0,132440069.0,128.0,Comedy,5.235,0.0,0.0,False,False
424,Schindler's List,1993,22000000.0,321365567.0,195.0,Drama,19.348,12.0,7.0,True,True
6279,Sister Act 2: Back in the Habit,1993,38000000.0,57319029.0,107.0,Music,11.0078,0.0,0.0,False,False
137,Groundhog Day,1993,14600000.0,71108778.0,101.0,Romance,10.7957,0.0,0.0,False,False
11244,The Meteor Man,1993,20000000.0,8000000.0,100.0,Fantasy,9.909,0.0,0.0,False,False
28260,Return of the Living Dead III,1993,2000000.0,54207.0,97.0,Horror,11.4176,0.0,0.0,False,False
33408,The Crush,1993,6000000.0,13609396.0,89.0,Thriller,8.5019,0.0,0.0,False,False
8005,Robin Hood: Men in Tights,1993,20000000.0,35739755.0,104.0,Comedy,8.7689,0.0,0.0,False,False
6878,Homeward Bound: The Incredible Journey,1993,24000000.0,57333324.0,84.0,Adventure,7.7469,0.0,0.0,False,False
329,Jurassic Park,1993,63000000.0,920100000.0,127.0,Adventure,10.2132,3.0,3.0,True,True
11969,Tombstone,1993,25000000.0,73205065.0,130.0,Western,9.9875,0.0,0.0,False,False
4478,Indecent Proposal,1993,38000000.0,266614059.0,117.0,Romance,13.9207,0.0,0.0,False,False
10502,The Man Without a Face,1993,20000000.0,36560338.0,115.0,Drama,8.9876,0.0,0.0,False,False
37233,The Firm,1993,42000000.0,270248367.0,154.0,Drama,10.9652,2.0,0.0,True,False
9739,Demolition Man,1993,57000000.0,159055768.0,115.0,Crime,9.415,0.0,0.0,False,False
9944,The Pelican Brief,1993,45000000.0,195268056.0,141.0,Thriller,7.7845,0.0,0.0,False,False
5503,The Fugitive,1993,44000000.0,353808222.0,131.0,Action,9.5779,7.0,1.0,True,True
10439,Hocus Pocus,1993,28000000.0,51663767.0,96.0,Fantasy,10.7604,0.0,0.0,False,False
15765,What's Love Got to Do with It,1993,15000000.0,39100000.0,118.0,Drama,6.538,2.0,0.0,True,False
9350,Cliffhanger,1993,70000000.0,255000211.0,113.0,Action,10.1499,3.0,0.0,True,False
9516,Menace II Society,1993,3500000.0,27900000.0,97.0,Drama,8.5829,0.0,0.0,False,False
788,Mrs. Doubtfire,1993,25000000.0,441286195.0,125.0,Comedy,9.1834,1.0,1.0,True,True
1499,Teenage Mutant Ninja Turtles III,1993,21000000.0,42273609.0,95.0,Action,7.742,0.0,0.0,False,False
858,Sleepless in Seattle,1993,21000000.0,227799884.0,105.0,Comedy,8.1665,2.0,0.0,True,False
15797,Only the Strong,1993,6000000.0,3283371.0,99.0,Action,6.8637,0.0,0.0,False,False
11971,Much Ado About Nothing,1993,11000000.0,22600000.0,111.0,Drama,8.0655,0.0,0.0,False,False
9479,The Nightmare Before Christmas,1993,18000000.0,75634409.0,76.0,Fantasy,8.6113,1.0,0.0,True,False
11528,The Sandlot,1993,7000000.0,34348444.0,101.0,Family,11.304,0.0,0.0,False,False
9800,Philadelphia,1993,26000000.0,206678440.0,126.0,Drama,9.6803,5.0,2.0,True,True
2758,Addams Family Values,1993,47000000.0,48919043.0,94.0,Comedy,6.8637,1.0,0.0,True,False
12574,Cop & ½,1993,4000000.0,40700000.0,93.0,Action,7.1688,0.0,0.0,False,False
9559,A Perfect World,1993,30000000.0,135100000.0,138.0,Drama,7.2066,0.0,0.0,False,False
507,Killing Zoe,1993,1500000.0,418961.0,96.0,Action,6.5305,0.0,0.0,False,False
1607,A Bronx Tale,1993,22000000.0,17287898.0,121.0,Drama,7.8259,0.0,0.0,False,False
5550,RoboCop 3,1993,22000000.0,10696210.0,105.0,Action,7.198,0.0,0.0,False,False
8291,Poetic Justice,1993,14000000.0,27515786.0,109.0,Drama,5.7213,1.0,0.0,True,False
24227,Excessive Force,1993,3000000.0,1200000.0,87.0,Action,6.0976,0.0,0.0,False,False
47676,"Bodies, Rest & Motion",1993,2500000.0,764083.0,95.0,Drama,4.636,0.0,0.0,False,False
12780,Iron Monkey,1993,11000000.0,14694904.0,90.0,Action,9.7218,0.0,0.0,False,False
14919,Batman: Mask of the Phantasm,1993,6000000.0,5617391.0,76.0,Action,4.9755,0.0,0.0,False,False
11687,The Visitors,1993,9500000.0,98800000.0,107.0,Fantasy,6.934,0.0,0.0,False,False
11982,Look Who's Talking Now!,1993,22000000.0,10340263.0,96.0,Romance,5.4807,0.0,0.0,False,False
11044,Arizona Dream,1993,19000000.0,112547.0,142.0,Fantasy,5.3989,0.0,0.0,False,False
26203,Blink,1993,11000000.0,16668552.0,106.0,Crime,5.5892,0.0,0.0,False,False
2019,Hard Target,1993,18000000.0,74189677.0,97.0,Action,7.5702,0.0,0.0,False,False
9702,Bound by Honor,1993,35000000.0,4500000.0,180.0,Crime,6.0599,0.0,0.0,False,False
1245,The Remains of the Day,1993,11500000.0,23240144.0,134.0,Drama,5.3024,8.0,0.0,True,False
37094,Falling Down,1993,25000000.0,40903593.0,113.0,Crime,7.2511,0.0,0.0,False,False
864,Cool Runnings,1993,14000000.0,154856263.0,98.0,Comedy,8.1626,0.0,0.0,False,False
695,Short Cuts,1993,12000000.0,6110979.0,188.0,Drama,8.2576,1.0,0.0,True,False
2088,Romeo Is Bleeding,1993,11500000.0,3275585.0,100.0,Crime,4.2754,0.0,0.0,False,False
66530,Gentleman,1993,720000.0,2200000.0,160.0,Action,8.9832,0.0,0.0,False,False
6075,Carlito's Way,1993,30000000.0,63848322.0,144.0,Crime,5.8164,0.0,0.0,False,False
10423,Dragon: The Bruce Lee Story,1993,14000000.0,63513743.0,119.0,Drama,4.8328,0.0,0.0,False,False
12139,Dennis the Menace,1993,35000000.0,117270765.0,96.0,Family,4.9386,0.0,0.0,False,False
278,The Shawshank Redemption,1994,25000000.0,28341469.0,142.0,Drama,38.3467,7.0,0.0,True,False
13,Forrest Gump,1994,55000000.0,677387716.0,142.0,Comedy,25.9672,13.0,6.0,True,True
101,Léon: The Professional,1994,16000000.0,45284974.0,111.0,Crime,25.089,0.0,0.0,False,False
11011,Ri¢hie Ri¢h,1994,40000000.0,38087756.0,94.0,Comedy,21.0797,0.0,0.0,False,False
680,Pulp Fiction,1994,8000000.0,213928762.0,154.0,Thriller,23.3183,7.0,1.0,True,True
95636,The Return of Tommy Tricker,1994,3200000.0,92605.0,97.0,Family,19.8494,0.0,0.0,False,False
8587,The Lion King,1994,45000000.0,763455561.0,89.0,Family,18.4304,4.0,2.0,True,True
854,The Mask,1994,23000000.0,351583407.0,101.0,Romance,17.6496,1.0,0.0,True,False
9905,Shallow Grave,1994,2500000.0,19779614.0,93.0,Crime,12.4516,0.0,0.0,False,False
3049,Ace Ventura: Pet Detective,1994,15000000.0,107217396.0,86.0,Comedy,12.5547,0.0,0.0,False,False
18069,8 Seconds,1994,7000000.0,19623396.0,105.0,Drama,15.2109,0.0,0.0,False,False
8467,Dumb and Dumber,1994,16000000.0,247275374.0,107.0,Comedy,11.9816,0.0,0.0,False,False
36955,True Lies,1994,115000000.0,378900000.0,141.0,Action,13.3952,1.0,0.0,True,False
8850,The Shadow,1994,25000000.0,48063465.0,108.0,Fantasy,13.065,0.0,0.0,False,False
628,Interview with the Vampire,1994,60000000.0,223664608.0,123.0,Horror,14.6902,2.0,0.0,True,False
2636,The Specialist,1994,45000000.0,170362582.0,110.0,Action,11.9813,0.0,0.0,False,False
11596,Wes Craven's New Nightmare,1994,8000000.0,19721741.0,112.0,Horror,11.6562,0.0,0.0,False,False
4476,Legends of the Fall,1994,30000000.0,160638883.0,133.0,Drama,9.7497,3.0,1.0,True,True
2164,Stargate,1994,55000000.0,196567262.0,121.0,Action,9.7064,0.0,0.0,False,False
1637,Speed,1994,30000000.0,350448145.0,116.0,Action,10.2462,3.0,2.0,True,True
41579,Getting Even with Dad,1994,30000000.0,53769594.0,109.0,Comedy,7.9055,0.0,0.0,False,False
18395,Exit to Eden,1994,27500000.0,6800000.0,114.0,Comedy,6.3372,0.0,0.0,False,False
11231,The Next Karate Kid,1994,12000000.0,15876353.0,107.0,Action,7.9518,0.0,0.0,False,False
9587,Little Women,1994,18000000.0,94983123.0,115.0,Drama,9.7316,3.0,0.0,True,False
11212,Baby's Day Out,1994,50000000.0,16671505.0,99.0,Comedy,7.5282,0.0,0.0,False,False
888,The Flintstones,1994,46000000.0,341631208.0,91.0,Fantasy,8.4947,0.0,0.0,False,False
39473,Silent Fall,1994,30000000.0,3180674.0,101.0,Drama,8.3396,0.0,0.0,False,False
11310,City Slickers II: The Legend of Curly's Gold,1994,40000000.0,72000000.0,116.0,Comedy,5.5766,0.0,0.0,False,False
10714,The Jungle Book,1994,27000000.0,53508356.0,111.0,Family,7.7745,0.0,0.0,False,False
11382,Bullets Over Broadway,1994,20000000.0,37483747.0,98.0,Comedy,7.6648,7.0,1.0,True,True
241,Natural Born Killers,1994,34000000.0,50283563.0,119.0,Crime,7.9582,0.0,0.0,False,False
712,Four Weddings and a Funeral,1994,4400000.0,245700832.0,117.0,Comedy,8.4313,2.0,0.0,True,False
10447,No Escape,1994,20000000.0,15340000.0,118.0,Action,8.5784,0.0,0.0,False,False
11546,Police Academy: Mission to Moscow,1994,10000000.0,126247.0,83.0,Comedy,7.0671,0.0,0.0,False,False
10872,The Ref,1994,11000000.0,11400000.0,97.0,Comedy,7.054,0.0,0.0,False,False
20239,Fear of a Black Hat,1994,1000000.0,233824.0,88.0,Comedy,4.6187,0.0,0.0,False,False
9331,Clear and Present Danger,1994,62000000.0,215887717.0,141.0,Action,7.5997,2.0,0.0,True,False
26352,A Low Down Dirty Shame,1994,10000000.0,29392418.0,100.0,Comedy,5.2534,0.0,0.0,False,False
527,Once Were Warriors,1994,950000.0,6700000.0,99.0,Drama,4.931,0.0,0.0,False,False
10660,It Could Happen to You,1994,20000000.0,37939757.0,101.0,Comedy,5.1147,0.0,0.0,False,False
9495,The Crow,1994,23000000.0,93722164.0,102.0,Fantasy,6.3828,0.0,0.0,False,False
20726,Little Giants,1994,20000000.0,19300000.0,107.0,Comedy,5.4959,0.0,0.0,False,False
12280,The Paper,1994,6000000.0,48400000.0,112.0,Comedy,5.1551,1.0,0.0,True,False
11667,Street Fighter,1994,35000000.0,99423521.0,102.0,Action,6.834,0.0,0.0,False,False
34746,Death Wish V: The Face of Death,1994,5000000.0,1702394.0,95.0,Action,3.6844,0.0,0.0,False,False
12160,Wyatt Earp,1994,63000000.0,25052000.0,191.0,Western,8.0586,1.0,0.0,True,False
10467,The Road to Wellville,1994,25000000.0,26000000.0,118.0,Comedy,3.9654,0.0,0.0,False,False
862,Toy Story,1995,30000000.0,401157969.0,81.0,Family,25.2903,4.0,1.0,True,True
807,Se7en,1995,33000000.0,327311859.0,127.0,Crime,24.6746,0.0,0.0,False,False
949,Heat,1995,60000000.0,187400000.0,170.0,Crime,17.4879,0.0,0.0,False,False
27303,Hideaway,1995,15000000.0,12201255.0,103.0,Drama,14.0652,0.0,0.0,False,False
197,Braveheart,1995,72000000.0,213216216.0,178.0,Action,16.6111,10.0,5.0,True,True
524,Casino,1995,50000000.0,116112375.0,179.0,Crime,12.549,1.0,0.0,True,False
8839,Casper,1995,50000000.0,287928194.0,100.0,Fantasy,13.5809,0.0,0.0,False,False
9603,Clueless,1995,12000000.0,56631572.0,97.0,Comedy,11.9775,0.0,0.0,False,False
451,Leaving Las Vegas,1995,3600000.0,49800000.0,111.0,Drama,11.591,4.0,1.0,True,True
9273,Ace Ventura: When Nature Calls,1995,30000000.0,212385533.0,90.0,Crime,10.5995,0.0,0.0,False,False
63,Twelve Monkeys,1995,29000000.0,168841459.0,129.0,Science Fiction,12.9405,0.0,0.0,False,False
19404,Dilwale Dulhania Le Jayenge,1995,13200000.0,100000000.0,190.0,Comedy,16.3979,0.0,0.0,False,False
9323,Ghost in the Shell,1995,3000000.0,10000000.0,83.0,Action,11.3609,0.0,0.0,False,False
18402,Something to Talk About,1995,30000000.0,77300000.0,106.0,Comedy,10.6075,0.0,0.0,False,False
9804,Waterworld,1995,175000000.0,264218220.0,135.0,Adventure,13.7395,1.0,0.0,True,False
11861,How to Make an American Quilt,1995,10000000.0,41200020.0,116.0,Drama,9.782,0.0,0.0,False,False
8012,Get Shorty,1995,30250000.0,115101622.0,105.0,Comedy,11.3241,0.0,0.0,False,False
9091,Sudden Death,1995,35000000.0,64350171.0,110.0,Action,9.5472,0.0,0.0,False,False
37653,The Three Brothers,1995,7500000.0,46000000.0,105.0,Comedy,10.3237,0.0,0.0,False,False
629,The Usual Suspects,1995,6000000.0,23300000.0,106.0,Drama,11.7673,2.0,2.0,True,True
710,GoldenEye,1995,60000000.0,352194034.0,130.0,Adventure,10.9654,0.0,0.0,False,False
76,Before Sunrise,1995,2500000.0,5987386.0,101.0,Drama,12.0769,0.0,0.0,False,False
6950,Outbreak,1995,50000000.0,189900000.0,129.0,Action,12.4844,0.0,0.0,False,False
8438,Murder in the First,1995,20000000.0,29500000.0,122.0,Crime,7.7528,0.0,0.0,False,False
9312,Mortal Kombat,1995,18000000.0,122195920.0,101.0,Action,8.7732,0.0,0.0,False,False
8963,Crimson Tide,1995,53000000.0,157387195.0,116.0,Thriller,9.5687,3.0,0.0,True,False
