title,release_date,budget,revenue,roi,vote_average,vote_count,runtime,genres,avg_trend_before,max_trend_before,peak_date_before,avg_trend_after,max_trend_after
Harry Potter and the Deathly Hallows: Part 2,2011-07-12,125000000,1341511219,10.73,8.081,21744,130,"Adventure, Fantasy",4.05,100.0,2011-07-10,,
Pirates of the Caribbean: On Stranger Tides,2011-05-15,379000000,1046721266,2.76,6.565,14795,136,"Adventure, Action, Fantasy",1.62,100.0,2010-12-15,,
The Intouchables,2011-11-02,13000000,426590315,32.81,8.27,18209,113,"Drama, Comedy",,,,3.23,100.0
The Mechanic,2011-01-13,40000000,51070807,1.28,6.527,3523,93,"Action, Thriller, Crime",0.54,100.0,2010-11-18,28.75,100.0
Rango,2011-03-02,135000000,245700000,1.82,6.889,6980,112,"Animation, Comedy, Family, Western, Adventure",6.15,100.0,2011-03-02,,
Limitless,2011-03-17,27000000,161900000,6.0,7.195,11300,106,"Thriller, Mystery, Science Fiction",0.55,100.0,2011-01-12,,
Everything Must Go,2011-05-13,5000000,2614773,0.52,6.159,655,97,"Comedy, Drama, Romance",,,,,
Seeking Justice,2011-09-02,17000000,14089528,0.83,5.913,1067,105,"Action, Drama, Thriller",,,,,
Ghost Rider: Spirit of Vengeance,2011-12-10,57000000,132563930,2.33,5.007,4006,95,"Action, Fantasy, Thriller",,,,,
We Need to Talk About Kevin,2011-09-28,7000000,10800000,1.54,7.543,3046,113,"Drama, Thriller",0.54,100.0,2011-09-21,,
Thor,2011-04-21,150000000,449326618,3.0,6.768,22126,115,"Adventure, Fantasy, Action",,,,,
Contagion,2011-09-08,60000000,137551594,2.29,6.644,6441,106,"Drama, Thriller, Science Fiction",,,,,
The Help,2011-08-09,25000000,216600000,8.66,8.201,8894,146,Drama,,,,,
Margin Call,2011-09-28,3500000,19504039,5.57,6.864,2035,107,"Thriller, Drama",,,,58.35,100.0
We Have a Pope,2011-04-15,11000000,17877523,1.63,6.778,589,105,"Drama, Comedy",,,,,
Blitz,2011-05-20,15774948,15800000,1.0,6.181,1767,97,"Crime, Action, Thriller",,,,49.44,100.0
Green Lantern,2011-06-14,200000000,219851172,1.1,5.177,7571,114,"Adventure, Action, Thriller, Science Fiction",19.43,100.0,2011-06-13,,
Rio,2011-04-03,90000000,483866772,5.38,6.759,7083,96,"Animation, Adventure, Comedy, Family",,,,63.84,100.0
The Change-Up,2011-08-05,52000000,75500000,1.45,6.153,2926,112,Comedy,,,,,
Rise of the Planet of the Apes,2011-08-03,93000000,481800873,5.18,7.34,12593,105,"Thriller, Action, Drama, Science Fiction",,,,,
Shame,2011-10-02,6500000,3909002,0.6,6.924,3361,102,Drama,,,,,
Cars 2,2011-06-11,200000000,559852396,2.8,6.172,8375,106,"Animation, Family, Adventure, Comedy",18.46,100.0,2011-02-27,58.74,100.0
Puss in Boots,2011-10-27,130000000,554987477,4.27,6.592,4468,90,"Animation, Family, Fantasy, Adventure, Comedy",3.61,100.0,2011-10-27,42.69,100.0
Straw Dogs,2011-09-16,25000000,10324441,0.41,5.926,611,110,"Drama, Thriller",2.51,100.0,2011-04-16,,
Real Steel,2011-09-28,110000000,299300000,2.72,7.066,8952,127,"Action, Science Fiction, Drama",,,,43.74,100.0
Insidious,2011-03-31,1500000,100106454,66.74,6.942,7211,102,"Horror, Thriller",,,,9.1,100.0
"Crazy, Stupid, Love.",2011-07-29,50000000,145079584,2.9,7.27,9127,118,"Comedy, Drama, Romance",,,,,
Sucker Punch,2011-03-24,82000000,89792502,1.1,6.196,4989,110,"Action, Fantasy, Thriller",,,,36.09,100.0
Horrible Bosses,2011-07-08,35000000,209838559,6.0,6.573,6706,98,"Comedy, Crime",1.7,100.0,2011-07-02,17.84,100.0
A Monster in Paris,2011-10-12,25000000,26611650,1.06,6.9,1337,90,"Adventure, Animation, Comedy, Family, Fantasy",,,,,
Drive,2011-09-15,15000000,78100000,5.21,7.583,13408,100,"Drama, Thriller, Crime",74.96,100.0,2011-05-23,83.0,100.0
I Am Number Four,2011-02-18,50000000,149900000,3.0,6.176,4905,109,"Action, Thriller, Science Fiction, Adventure",0.89,100.0,2011-02-15,33.79,100.0
Cowboys & Aliens,2011-07-29,163000000,174822325,1.07,5.64,5330,119,"Action, Science Fiction, Thriller, Western",0.55,100.0,2011-05-20,29.0,100.0
Diary of a Wimpy Kid: Rodrick Rules,2011-03-25,21000000,72526996,3.45,6.705,1226,99,"Family, Comedy",,,,,
The Artist,2011-10-12,15000000,133432856,8.9,7.441,3471,100,"Drama, Comedy, Romance",2.7,100.0,2011-09-21,,
The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,110000000,712171856,6.47,6.19,9185,117,"Adventure, Fantasy, Romance",,,,,
Immortals,2011-11-10,75000000,226904017,3.03,6.039,2767,110,"Fantasy, Action, Drama",,,,,
Bad Teacher,2011-05-16,20000000,216197492,10.81,5.609,4902,92,Comedy,1.34,100.0,2011-04-03,31.59,100.0
Abduction,2011-09-22,35000000,82087155,2.35,5.841,2996,106,"Thriller, Action, Mystery",3.7,100.0,2011-04-25,37.13,100.0
Mission: Impossible - Ghost Protocol,2011-12-07,145000000,694713380,4.79,7.11,10631,133,"Action, Thriller, Adventure",1.07,100.0,2011-06-29,15.78,100.0
Colombiana,2011-07-27,40000000,71508440,1.79,6.635,2812,108,"Action, Thriller, Crime, Drama",1.49,100.0,2011-05-08,8.84,100.0
This Must Be the Place,2011-08-24,25000000,11790979,0.47,6.981,1294,118,Drama,,,,,
The Awakening,2011-08-17,4798235,6879667,1.43,6.384,1473,107,"Horror, Thriller, Mystery",0.55,100.0,2011-03-02,,
The Thing,2011-10-12,35000000,31505287,0.9,6.226,3144,103,"Horror, Science Fiction, Mystery",31.83,100.0,2011-09-22,61.28,100.0
Priest,2011-05-05,60000000,84154026,1.4,5.852,2474,87,"Action, Fantasy, Horror",50.02,100.0,2011-05-05,29.78,100.0
A Lonely Place to Die,2011-04-09,4000000,25345000,6.34,6.174,632,99,"Adventure, Action, Thriller, Crime",,,,,
Bridesmaids,2011-05-13,32500000,288383523,8.87,6.504,4617,125,"Comedy, Romance",0.55,100.0,2011-04-29,9.5,100.0
The Oranges,2011-09-09,7000000,1941667,0.28,5.508,506,90,"Comedy, Romance, Drama",,,,,
The Muppets,2011-11-23,45000000,165184237,3.67,6.679,1659,103,"Family, Comedy",0.54,100.0,2011-11-20,,
Kung Fu Panda 2,2011-05-25,150000000,665692281,4.44,7.059,7757,91,"Animation, Family, Comedy",7.89,100.0,2011-01-01,37.53,100.0
Jane Eyre,2011-03-11,13000000,34710627,2.67,7.2,1544,120,"Drama, Romance",2.23,100.0,2010-12-28,,
Carnage,2011-09-16,25000000,30722632,1.23,7.176,3100,80,"Comedy, Drama",4.62,100.0,2011-09-02,6.32,100.0
Season of the Witch,2011-01-07,40000000,91627228,2.29,5.521,2611,95,"Adventure, Fantasy, Action",0.54,100.0,2011-01-07,,
Hugo,2011-11-22,170000000,185770160,1.09,7.175,7578,126,"Adventure, Drama, Family",73.08,100.0,2011-08-20,83.97,100.0
Another Earth,2011-07-22,100000,1938783,19.39,6.712,1769,92,"Drama, Science Fiction",,,,,
The Sitter,2011-12-09,25000000,34942188,1.4,5.581,1000,81,Comedy,0.54,100.0,2011-07-24,5.53,100.0
Captain America: The First Avenger,2011-07-22,140000000,370569774,2.65,7.005,22512,124,"Action, Adventure, Science Fiction",,,,14.91,100.0
Dolphin Tale,2011-09-22,37000000,95404397,2.58,6.907,675,113,"Drama, Family",,,,,
A Dangerous Method,2011-09-30,15000000,27462041,1.83,6.352,2191,99,Drama,1.02,100.0,2011-09-04,8.48,100.0
Warrior,2011-09-09,25000000,23300000,0.93,7.846,4925,140,"Drama, Action",63.23,100.0,2011-08-13,,
Tower Heist,2011-11-02,75000000,152930623,2.04,6.112,3133,104,"Action, Comedy",0.98,100.0,2011-06-02,13.55,100.0
The Rite,2011-01-28,37000000,96047633,2.6,6.128,2202,114,"Drama, Thriller, Horror",1.34,100.0,2010-07-30,35.19,100.0
Hanna,2011-04-07,30000000,63782078,2.13,6.585,3609,111,"Action, Thriller, Adventure",46.22,100.0,2010-11-14,78.42,100.0
No Strings Attached,2011-01-21,25000000,149200000,5.97,6.296,4935,107,"Comedy, Romance",0.96,100.0,2011-01-20,29.5,100.0
Just Go with It,2011-02-10,80000000,214945591,2.69,6.702,6039,117,"Comedy, Romance",1.04,100.0,2011-01-27,,
Beginners,2011-06-03,3200000,14311701,4.47,6.841,1120,104,"Drama, Romance, Comedy",,,,,
We Bought a Zoo,2011-11-26,50000000,120081841,2.4,6.826,2896,124,"Drama, Comedy, Family",,,,,
The Hangover Part II,2011-05-25,80000000,586764305,7.33,6.499,11132,102,Comedy,,,,,
The Tree of Life,2011-05-17,32000000,54700000,1.71,6.727,3290,139,"Drama, Fantasy",,,,,
Drive Angry,2011-02-24,50000000,40909909,0.82,5.523,1995,104,"Fantasy, Thriller, Action, Crime",,,,,
Silenced,2011-09-22,2200000,31500000,14.32,8.145,752,125,Drama,,,,,
The Adjustment Bureau,2011-03-03,50200000,127900000,2.55,6.775,4826,106,"Science Fiction, Thriller, Romance",,,,13.84,100.0
New Year's Eve,2011-12-08,56000000,142044638,2.54,5.885,2210,118,"Comedy, Romance",,,,,
The Green Hornet,2011-01-12,120000000,227817248,1.9,5.594,3433,119,"Action, Crime, Comedy",,,,,
Boris: The Film,2011-04-01,3347850,1248748,0.37,6.935,617,108,Comedy,,,,,
Sherlock Holmes: A Game of Shadows,2011-11-22,125000000,334615000,2.68,7.144,10826,129,"Adventure, Action, Crime, Mystery",,,,,
The Descendants,2011-09-09,20000000,177200000,8.86,6.837,3005,115,"Comedy, Drama",,,,,
Moneyball,2011-09-23,50000000,110206216,2.2,7.287,5634,134,Drama,,,,,
The Girl with the Dragon Tattoo,2011-12-14,90000000,232617430,2.58,7.381,7491,158,"Thriller, Crime, Mystery",,,,,
Chalet Girl,2011-02-02,8000000,5468650,0.68,6.4,659,97,"Comedy, Romance",,,,,
The Avengers,2012-04-25,220000000,1518815515,6.9,7.961,36335,143,"Science Fiction, Action, Adventure",,,,,
Here Comes the Boom,2012-10-10,42000000,73100000,1.74,6.218,1554,105,"Comedy, Action, Drama",,,,,
Django Unchained,2012-12-25,100000000,425368238,4.25,8.187,27662,165,"Drama, Western",,,,,
Ted,2012-06-29,50000000,549368315,10.99,6.448,13008,107,"Comedy, Fantasy",,,,,
The Hobbit: An Unexpected Journey,2012-12-12,250000000,1021103568,4.08,7.367,19379,169,"Adventure, Fantasy, Action",,,,,
Argo,2012-10-11,44500000,232300000,5.22,7.282,8817,120,"Drama, Thriller",,,,,
Brave,2012-06-21,185000000,538983207,2.91,7.021,14012,93,"Animation, Adventure, Family, Fantasy",,,,,
Prometheus,2012-05-30,130000000,403354469,3.1,6.591,13083,124,"Science Fiction, Mystery",,,,,
The Dark Knight Rises,2012-07-17,250000000,1081041287,4.32,7.792,24067,165,"Action, Crime, Drama, Thriller",,,,,
Les Misérables,2012-12-18,61000000,442636309,7.26,7.306,5523,158,"History, Drama",,,,,
The Vow,2012-02-05,30000000,196114570,6.54,7.231,4206,104,"Drama, Romance",,,,,
Jack Reacher,2012-12-20,60000000,218300000,3.64,6.655,7520,130,"Crime, Drama, Thriller, Action",,,,,
The Amazing Spider-Man,2012-06-23,215000000,758725893,3.53,6.729,18295,136,"Action, Adventure, Science Fiction",,,,,
Ruby Sparks,2012-07-25,8000000,9368803,1.17,7.116,1748,104,"Comedy, Romance, Fantasy, Drama",,,,,
Battleship,2012-04-11,209000000,303025485,1.45,5.88,5852,131,"Thriller, Action, Adventure, Science Fiction",,,,,
Hotel Transylvania,2012-09-20,85000000,358375603,4.22,6.963,9073,91,"Animation, Comedy, Family, Fantasy",,,,,
Pitch Perfect,2012-09-28,17000000,115647426,6.8,7.274,6808,112,"Comedy, Music, Romance",,,,,
Journey 2: The Mysterious Island,2012-01-19,79000000,355692760,4.5,6.145,4462,94,"Adventure, Action, Science Fiction",,,,,
Wreck-It Ralph,2012-11-01,165000000,471222889,2.86,7.354,12937,101,"Family, Animation, Comedy, Adventure",,,,,
Skyfall,2012-10-24,200000000,1108594176,5.54,7.258,15952,143,"Action, Adventure, Thriller",,,,,
