adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,revenue,runtime,genres
False,/gYmYe14ykC7eZ8DVAL9A6OYvo2h.jpg,"[10749, 18]",73789,en,The Crossing,"A single day. To challenge the past. To accept the present. To decide the future. Sam arrives in his home town after 18 months away, hopeful that Meg, the girlfriend he abandoned, will go back with him to the city. His return brings the outside world into the parochial confines of the town, provoking mixed reactions which fuel conflict. Meg, heartbroken when Sam left her, has begun an affair with Sam's friend Johnny. On the eve of Sam's arrival, Johnny asks Meg to marry him. The marriage proposal, along with Sam's unexpected return, forces Meg to choose not only between the two men but also the type of life she wants. The conflicting loyalties and emotions generated by the triangle provide the focus for an array of inter-related characters enmeshed in the life of this country town. There is a feeling of impending tragedy as night falls and Johnny becomes increasingly desparate.",8.4604,/138MG0icRBplnlwcK42bHyMetA7.jpg,1990-10-18,The Crossing,False,4.444,9,0.0,0.0,95.0,"['Romance', 'Drama']"
False,/vfrK5eoKakx7mVx9Ng2ESkLAdoQ.jpg,"[10752, 28, 12]",294998,en,African Express,The adventures of three friends running an air charter business in Africa during WW II and their race to prevent a Nazi Baron from escaping to Germany with vital radar equipment.,10.6113,/mncUXu7Vy3sdNddToizfCjMx5wN.jpg,1990-07-01,African Express,False,3.7,3,0.0,0.0,94.0,"['War', 'Action', 'Adventure']"
False,/iR3tV8NXFls4UKzPA60D4zrI7Jh.jpg,"[35, 27, 14]",928,en,Gremlins 2: The New Batch,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",4.8012,/35F5yD7MljvBE2AC0NHAVCoPGEi.jpg,1990-06-15,Gremlins 2: The New Batch,False,6.522,2837,50000000.0,41482207.0,106.0,"['Comedy', 'Horror', 'Fantasy']"
False,,[18],1443513,en,Another Damaging Day,A young man washes and rinses off his car on his driveway on a cloudy day with thunder being heard. and the man gets struck by lightning,2.6012,/ftcQB2tA4bT4w9Rl3dbteuTf8pD.jpg,1990-09-29,Another Damaging Day,False,0.0,0,0.0,0.0,12.0,['Drama']
False,,[],1197587,en,The Ballad of Ewan MacColl,"1990 BBCTV documentary on the life of the late celebrated folk singer, playwright and political activist",2.551,,1990-01-25,The Ballad of Ewan MacColl,False,0.0,0,0.0,0.0,80.0,[]
False,/wBugEQcgNtfWveSZaHCfEZbplG0.jpg,[18],335690,es,Imagen latente,"In the late 1980s, a politically neutral photographer in Pinochet's Chile is still struggling to come to terms with the ""disappearance"" of his activist brother in the Villa Grimaldi torture centre back in 1975.",8.2134,/rhR68x8C20yHyC5kGx1FT2nGqFM.jpg,1990-05-04,Latent Image,False,5.8,4,0.0,0.0,92.0,['Drama']
False,,[35],1498537,de,Der zerbrochne Krug,,4.103,/1N6aeJzBdbU45bMJ2akE4TPRivc.jpg,1990-04-15,Der zerbrochne Krug,False,0.0,0,0.0,0.0,95.0,['Comedy']
False,/6xJ2odkMFmO2LptVUBR8t8wBldQ.jpg,"[80, 53, 10749]",483,en,Wild at Heart,"Young lovers Sailor and Lula hit the road to start a new life together away from the wrath of Lula’s deranged, disapproving mother, who has hired a team of hitmen to cut the lovers’ surreal honeymoon short.",4.8693,/uLUFI5sJIfWrBUWB2Y1dEuyvvVy.jpg,1990-08-17,Wild at Heart,False,7.042,1861,9500000.0,14569027.0,125.0,"['Crime', 'Thriller', 'Romance']"
False,/kDg19JzcE8TG9fa0lqrw2UkcJes.jpg,[18],1375,en,Rocky V,"A lifetime of taking shots has ended Rocky’s career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",8.7886,/qCARerjCFZOEeLiVdomhwRYlDSn.jpg,1990-11-16,Rocky V,False,5.776,3408,42000000.0,119946358.0,104.0,['Drama']
False,/c5M90ycEY8iJetj3i0BEointlTA.jpg,"[878, 28]",78242,en,Peacemaker,"Two aliens arrive on Earth trying to kill each other. This is not easy, since they seem to be able to regenerate lost body parts and survive bullet wounds. Both of them happen to meet a young pathologist Dori Caisson, and each alien tells her that he is a peacemaker (an intergalactic cop) and that the other one is a bad guy. Whom can she trust?",8.0646,/vyDSoAwUfEVOEJOG8vLJEhUfAbC.jpg,1990-05-14,Peacemaker,False,4.962,13,0.0,0.0,100.0,"['Science Fiction', 'Action']"
False,/6DePw8frw8aKunbYIbiXXz8v1Nl.jpg,"[53, 27, 878]",5898,en,Brain Dead,"In a battle of man versus machine, Martin, a top neurosurgeon who's studying brain malfunctions that cause mental illness, delves deep into his own mind to save himself from a megalomaniacal corporation.",9.0722,/eaoGvqROCuJTKKKRUze8ZUSlzba.jpg,1990-01-16,Brain Dead,False,5.621,132,2000000.0,0.0,85.0,"['Thriller', 'Horror', 'Science Fiction']"
False,,[18],491843,de,Willi - Ein Aussteiger steigt ein,,3.6509,,1990-02-15,Willi - Ein Aussteiger steigt ein,False,0.0,0,0.0,0.0,0.0,['Drama']
False,/6y9xCLljUMMAsI2XV16j5D02Ji.jpg,"[35, 10751, 14]",10485,en,Ghost Dad,"Elliot Hopper, a widower with three children, is working on a business deal to get his family out of financial straits when he is suddenly killed in a taxi accident. With the aid of a paranormal researcher, Elliott attempts to complete the deal from the beyond, ensuring his family will be taken care of.",7.1347,/vYNIUUkJSZixxrfpMLFgVlagbaf.jpg,1990-06-29,Ghost Dad,False,5.091,219,30000000.0,25421633.0,84.0,"['Comedy', 'Family', 'Fantasy']"
False,/qXM08jXRwlT9rm10iAC2uoq0Kn.jpg,"[878, 28, 12, 35, 10751]",1498,en,Teenage Mutant Ninja Turtles,"A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.",4.9751,/shfAU6xIIEAEtsloIT3n9Fscz2E.jpg,1990-03-30,Teenage Mutant Ninja Turtles,False,6.7,1914,13500000.0,201965915.0,93.0,"['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family']"
False,/4IzCo9ljadVHQoR5dsXkgZfBDFN.jpg,[35],222684,en,Oddball Hall,Elderly jewel thieves on the run from the law pass themselves off as wizards to a village of bewildered Africans.,8.3066,/cNfNEKTr0eI2fjAvpk69e9Bjtfo.jpg,1990-06-22,Oddball Hall,False,0.0,0,0.0,0.0,0.0,['Comedy']
