title,release_date,budget,revenue,runtime,genres,release_year
Mustang,2000-04-18,0.0,0.0,85.0,"['TV Movie', 'Crime', 'Thriller']",2000
Coyote Ugly,2000-07-30,45000000.0,113900000.0,100.0,"['Comedy', 'Drama', 'Music', 'Romance']",2000
Seitensprung ins Glück,2000-12-01,0.0,0.0,89.0,"['Comedy', 'Romance', 'TV Movie']",2000
Crocodile,2000-07-05,2800000.0,0.0,94.0,['Horror'],2000
"Me, Myself & Irene",2000-06-22,51000000.0,149270999.0,117.0,['Comedy'],2000
Ünlü Yıldız,2000-01-01,0.0,0.0,0.0,['Drama'],2000
Digimon: The Movie,2000-10-06,5500000.0,16600000.0,89.0,"['Fantasy', 'Animation', 'Science Fiction', 'Family']",2000
Gone in Sixty Seconds,2000-06-09,90000000.0,237200000.0,118.0,"['Action', 'Crime', 'Thriller']",2000
Dolman 2000,2000-03-25,0.0,0.0,35.0,"['Comedy', 'Thriller']",2000
"O Brother, Where Art Thou?",2000-08-30,26000000.0,71877090.0,107.0,"['Adventure', 'Comedy', 'Crime']",2000
Kannaal Pesavaa,2000-08-21,0.0,0.0,0.0,[],2000
Recompensa,2000-01-01,0.0,0.0,99.0,['Crime'],2000
Coronation,2000-04-27,0.0,0.0,140.0,['Drama'],2000
Miss Congeniality,2000-12-22,45000000.0,212000000.0,110.0,"['Comedy', 'Crime', 'Action']",2000
What Lies Beneath,2000-07-21,100000000.0,291420351.0,130.0,"['Drama', 'Horror', 'Mystery', 'Thriller']",2000
Amores Perros,2000-06-16,2000000.0,20908467.0,154.0,"['Drama', 'Thriller']",2000
The Jönsson Gang at High Stakes,2000-12-25,0.0,0.0,89.0,"['Comedy', 'Crime']",2000
Fresh Produce,2000-01-11,0.0,0.0,90.0,"['TV Movie', 'Drama']",2000
Motorsiklo,2000-01-01,0.0,0.0,10.0,[],2000
Joint Security Area,2000-09-09,12500000.0,0.0,108.0,"['Drama', 'Thriller', 'Action']",2000
Ghost Trip,2000-06-13,0.0,0.0,23.0,['Drama'],2000
Chocolat,2000-12-22,25000000.0,152700626.0,121.0,"['Comedy', 'Drama', 'Romance']",2000
The Audition,2000-12-09,0.0,0.0,12.0,"['Drama', 'Thriller']",2000
Abuzer Kadayıf,2000-09-29,0.0,0.0,104.0,"['Comedy', 'Music', 'Drama']",2000
Rancid Aluminium,2000-01-21,0.0,0.0,91.0,"['Action', 'Comedy', 'Crime', 'Thriller']",2000
Das Alibi,2000-03-13,0.0,0.0,0.0,['Drama'],2000
