tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
602291,tt12491064,Intruder,2020,"Mystery, Thriller",0,4751103,6.7,92
572197,tt11566166,Mr. Zoo: The Missing VIP,2020,"Comedy, Action, Fantasy",0,4354691,6.9,31
587496,tt10003008,The Rental,2020,"Horror, Thriller",3500000,4311042,5.548,972
726739,tt12745164,Cats & Dogs 3: Paws Unite,2020,"Family, Comedy, Action",17000000,4200000,6.3,253
659994,tt8737608,Rams,2020,"Drama, Comedy",0,4155492,6.295,83
659731,tt11531530,Varane Avashyamund,2020,"Comedy, Family, Romance",587640,4139731,6.662,37
680956,tt11737772,Chal Mera Putt 2,2020,"Comedy, Drama",0,4095000,7.7,7
581577,tt9738784,Persian Lessons,2020,"War, Drama",0,3825668,7.533,475
670497,tt11125636,Yakari: A Spectacular Journey,2020,"Animation, Family, Adventure",0,3790930,6.0,48
532323,tt8346438,SHIROBAKO the Movie,2020,"Animation, Comedy, Drama",0,3780000,6.9,21
657811,tt10384944,Lassie Come Home,2020,"Adventure, Family",0,3700000,6.481,104
640923,tt10937670,Kidz,2020,Comedy,0,3700000,5.95,387
637202,tt9534948,Fate/Grand Order the Movie: Divine Realm of the Round Table: Camelot 1 Wandering; Agateram,2020,"Animation, Action, Adventure, History, Drama, Fantasy",2000000,3607899,7.1,72
659959,tt10457128,Summer of 85,2020,"Romance, Drama",6900000,3600000,7.407,894
606625,tt8160834,Follow Me,2020,"Horror, Thriller",0,3551439,6.223,546
480857,tt6017756,Radioactive,2020,"Drama, Romance, History",0,3507755,6.579,900
630220,tt10816484,18 Presents,2020,"Drama, Family",2500000,3486375,7.402,707
642208,tt11169050,Supernova,2020,"Romance, Drama",0,3415787,6.9,348
606149,tt8048384,Captain Sabertooth and the Magical Diamond,2020,"Animation, Family",4500000,3404229,7.1,47
442065,tt0783640,The Last Full Measure,2020,"Drama, Action, War",20000000,3364426,7.301,482
652962,tt10515926,Half Brothers,2020,"Comedy, Drama",0,3274339,7.3,218
539181,tt9072352,Relic,2020,"Horror, Mystery",1229578,3238539,6.098,810
550231,tt4411584,The Secret: Dare to Dream,2020,"Drama, Romance",21000000,3215636,7.274,648
523781,tt8045906,Words on Bathroom Walls,2020,"Drama, Romance",8000000,3151849,7.757,653
623926,tt9519642,The Wedding Unplanner,2020,"Comedy, Romance",0,3069303,6.525,180
712150,tt12105554,The Speech,2020,Comedy,0,3044720,6.334,280
539885,tt8784956,Ava,2020,"Action, Thriller, Crime",0,2987741,5.827,2714
601297,tt10023150,My Cousin,2020,Comedy,10854516,2982559,5.463,107
659991,tt9207700,Made in Italy,2020,"Comedy, Drama",101339,2915266,5.981,292
674349,tt11527964,Vendors' Meeting,2020,Comedy,0,2723347,4.9,46
474764,tt7347846,The Lodge,2020,"Horror, Drama, Mystery, Thriller",0,2679585,6.115,1374
632885,tt10776270,May the Devil Take You Too,2020,"Horror, Mystery, Thriller",0,2600000,6.864,66
663209,tt11493232,Zero Zone,2020,"Action, Drama",0,2536753,8.5,26
647745,tt10965792,The Morning After,2020,Comedy,4327440,2513010,5.6,92
502425,tt5797184,Escape from Pretoria,2020,"Drama, History, Thriller",0,2431995,7.175,1455
717637,tt11458628,"God, You’re Such a Prick",2020,"Romance, Drama, Comedy",0,2430000,6.3,53
670266,tt8322060,Tremors: Shrieker Island,2020,"Action, Horror",0,2399882,6.076,249
606876,tt8593904,Rifkin’s Festival,2020,"Comedy, Romance",0,2319180,6.1,460
590995,tt4685762,The Craft: Legacy,2020,"Horror, Drama, Fantasy",18000000,2300000,6.104,882
587311,tt9719864,Calamity,2020,"Comedy, Animation, Family, Adventure, Western",0,2239791,7.2,46
579583,tt9686708,The King of Staten Island,2020,"Comedy, Drama",35000000,2200000,7.003,1102
664177,tt7600716,DNA,2020,Drama,0,2156377,5.948,164
531876,tt3833480,The Outpost,2020,"War, Drama, History, Action",18000000,2133452,6.902,1145
738231,tt10638582,The ABCs of Love,2020,Comedy,0,2033629,6.3,177
632322,tt8305852,All My Life,2020,"Romance, Drama",25000000,2000000,7.772,509
621707,tt10793644,The Vigil,2020,"Horror, Mystery",0,1868659,5.838,422
660330,tt9850344,Night Shift,2020,Drama,0,1844043,5.233,258
575446,tt12474056,New Order,2020,"Drama, Thriller",0,1825491,6.401,369
671041,tt10369344,The Fantastic Journey of Margot & Marguerite,2020,Comedy,0,1822472,6.25,64
587792,tt9484998,Palm Springs,2020,"Comedy, Romance, Science Fiction",5000000,1818417,7.334,3588
743439,tt13107908,PAW Patrol: Jet to the Rescue,2020,"Animation, Family",0,1792816,7.1,168
527400,tt5714470,Come Away,2020,"Fantasy, Adventure",0,1746860,5.833,312
602301,tt13411298,Josée,2020,"Romance, Drama",0,1709980,7.129,62
552269,tt4651466,Joe Bell,2020,Drama,3500000,1700000,6.523,259
589972,tt7534136,Little Vampire,2020,"Animation, Family, Fantasy",0,1680146,6.9,43
602211,tt10310140,Fatman,2020,"Action, Fantasy, Comedy",20000000,1651413,5.587,945
575776,tt7557108,Saint Maud,2020,"Horror, Mystery, Thriller",0,1640866,6.558,862
560008,tt9179096,Minamata,2020,"Drama, History",0,1623809,6.947,319
592279,tt11547520,Kalashnikov AK-47,2020,"War, History, Drama",3500000,1593464,7.4,348
492008,tt7035004,The Swordsman,2020,"Action, Drama, History",0,1516150,7.5,284
728552,tt13616444,Side Effect,2020,"Horror, Thriller",0,1500000,5.823,79
619914,tt12636658,Twigson and the Sea Monster,2020,Family,0,1496735,4.1,5
520172,tt8522006,Happiest Season,2020,"Romance, Comedy",0,1401954,7.102,1309
451184,tt6760876,Wasp Network,2020,"Drama, History, Thriller",10530000,1400000,6.0,400
575088,tt8006374,Baba Yaga: Terror of the Dark Forest,2020,Horror,0,1398488,6.357,367
568467,tt7983894,Ammonite,2020,"Romance, Drama",0,1396905,6.9,632
629210,tt10857100,Max und die wilde 7,2020,"Family, Adventure, Crime",0,1369679,5.3,12
619918,tt9537888,Ella Bella Bingo,2020,"Animation, Family",6000000,1339784,6.6,63
627463,tt9000224,The Assistant,2020,Drama,0,1338881,6.293,521
618214,tt6971114,The Perfect Candidate,2020,Drama,0,1338195,6.672,96
590854,tt9506474,The Hater,2020,"Drama, Thriller",0,1325591,6.916,586
441130,tt5198068,Wolfwalkers,2020,"Animation, Family, Adventure, Fantasy",12000000,1310720,8.195,1350
678391,tt11490170,HIT: The First Case,2020,"Crime, Thriller, Action",720000,1300000,6.552,48
513584,tt5929654,Think Like a Dog,2020,"Family, Comedy, Drama",0,1239498,6.659,164
659764,tt10420532,Love Likes Coincidences 2,2020,"Romance, Drama",2100000,1200000,6.9,10
545237,tt8338762,The Nest,2020,Drama,0,1200000,6.098,373
692233,tt11237714,True to the Game 2,2020,"Thriller, Drama",0,1181823,6.4,17
669665,tt10798072,Our Father,2020,Drama,1500000,1173740,6.616,212
590223,tt2222042,Love and Monsters,2020,"Comedy, Adventure, Science Fiction",30000000,1122066,7.273,4367
